Eje,Metrica,Comunes,UM,Dirección,Meta (%23),Real,Importancia,Cumple %23,Cumple?,Corte,Año Esquema,Pilar ASG
TI,02. Indicadores de Negocio,05. Datos Críticos con Diccionario Publicado (%),,%,Arriba es bueno (>= Meta),"0,9","0,9",1,1,Si,2025-12-31T08:00:00Z,25
TI,02. Indicadores de Negocio,06. Horas Hombre Ahorradas (HH),x,Horas Hombre,Arriba es malo (<= Meta),10,10,1,1,Si,2025-12-31T08:00:00Z,25
TI,02. Indicadores de Negocio,07. Tiempo de Disponibilidad del Sistema (%),,%,Arriba es malo (<= Meta),"0,99","0,99",1,1,Si,2025-12-31T08:00:00Z,25
TI,02. Indicadores de Negocio,08. Tiempo de Disponibilidad de Servicios (%),,%,Arriba es malo (<= Meta),"0,99","0,99",1,1,Si,2025-12-31T08:00:00Z,25
TI,02. Indicadores de Negocio,09. Incremento de Cultura de la Tecnología (%),x,%,Arriba es bueno (>= Meta),"0,3","0,3",1,1,Si,2025-12-31T08:00:00Z,25
TI,00. Objetivos,10. Prueba funcional anual de plan recuperación anti desastres (DRP),,Número,Arriba es bueno (>= Meta),52,52,2,1,Si,2025-12-31T08:00:00Z,25
TI,00. Objetivos,11. Aseguramiento de los 5 sites Sumimsa,,Número,Arriba es bueno (>= Meta),5,5,2,1,Si,2025-12-31T08:00:00Z,25
TI,00. Objetivos,12. Reducir en 10% el gasto de planes móviles de los líneas celulares activas anual,,%,Arriba es bueno (>= Meta),"0,1","0,1",2,1,Si,2025-12-31T08:00:00Z,25
TI,00. Objetivos,13.  Implementar EDR en los 398 equipos de colaboradores,,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
TI,00. Objetivos,"14. Concientizar a los 398 colaboradores con campañas antiphishing, para reducir a 0 incidentes",x,%,Arriba es malo (<= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
TI,00. Objetivos,"15. Elaboración de los 5 conjuntos de datos (dashboards)  para toma de decisiones de acuerdo con plan anual en el segundo trimestre del 2025: Ventas, compras, inventarios, tesorería y finanzas",,%,Arriba es malo (<= Meta),1,95,2,1,Si,2025-12-31T08:00:00Z,25
TI,00. Objetivos,16. Asegurar el manejo de los datos con la totalidad de los tableros que se generaran durante 2025 y alinearlos a un modelos corporativo sostenible,,%,Arriba es bueno (>= Meta),"0,5","0,5",2,5,Si,2025-12-31T08:00:00Z,25
TI,00. Objetivos,17. Asegurar durante el 4Q que se colocan candados en el sistema para que las OC y PV tengan consistencia,,%,Arriba es bueno (>= Meta),"0,3","0,3",2,3,Si,2025-12-31T08:00:00Z,25
TI,00. Objetivos,18. Realizar un tablero que contenga la información necesaria validada por DG y subdirectores que se dé visibilidad del seguimiento del pedido. Esta actividad quedara resuelta para el 3Q,,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
TI,00. Objetivos,19. Durante 4Q realizar la certificación de usuarios con respecto a permisos y capacitación de los sistemas actuales.,,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
TI,00. Objetivos,"Al finalizar 2025 colocar al menos 5 power apps que ayuden a la aceleración de negocio y transformación digital alineado a los objetivos planteados por London.  Adicionalmente, terminar la intranet de Sumimsa como plataforma de comunicación y gestión",,Número,Arriba es bueno (>= Meta),5,5,2,5,Si,2025-12-31T08:00:00Z,25
TI,03. 360,01. Integridad,,%,Arriba es bueno (>= Meta),"0,75","0,97",3,1,Si,2025-12-31T08:00:00Z,25
TI,03. 360,02. Efectividad,,%,Arriba es bueno (>= Meta),"0,75","0,9",3,1,Si,2025-12-31T08:00:00Z,25
TI,03. 360,03. Trabajo Colaborativo,,%,Arriba es bueno (>= Meta),"0,75","0,93",3,1,Si,2025-12-31T08:00:00Z,25
TI,03. 360,04. Responsabilidad,,%,Arriba es bueno (>= Meta),"0,75","0,94",3,1,Si,2025-12-31T08:00:00Z,25
TI,03. 360,05. Enfoque al Cliente,,%,Arriba es bueno (>= Meta),"0,75","0,88",3,1,Si,2025-12-31T08:00:00Z,25
